Type,Course ID / Slug,Title,Framework,Level,Description,Outcome,Modules,Lessons,Duration,Price (INR),Included in Plus Essential,Hosted On,Course URL,Next Cohort Date,Instructor(s),Cover Image URL,Status,Notes,Bundle Courses
Self-Paced,esg-fundamentals,ESG Fundamentals,ESG & BRSR,Beginner,"The complete on-ramp to ESG: what it is, how it evolved, India's regulatory landscape, BRSR reporting, and the career paths it opens — in bite-sized video lessons.",,8,64,~67 min,Free,No,GreenMentor Pro (in-app),/academy/esg-fundamentals,,,,Published,,
Self-Paced,fundamentals-esg-brsr,Fundamentals of ESG & BRSR,ESG & BRSR,Foundation,"The vocabulary, the actors, the regulations, and a working knowledge of the BRSR framework Indian listed entities file under.","Master GRI, BRSR, SASB and CDP, the frameworks employers hire for.",,23,9.5 hours,999,Yes,Learnyst,https://academy.greenmentor.co/learn/Intro-to-ESG-and-BRSR,,Amitava Mandal,,Live on Learnyst,,
Self-Paced,ghg-accounting-mastery,GHG Accounting Mastery in 20 Hours,GHG Accounting,Intermediate,"Scope 1, 2 and 3 from first principles, ISO 14064-aligned, with the spreadsheets and audit trail your assurance partner will accept.","Calculate Scope 1, 2 and 3 emissions and lead your org's carbon disclosure.",,25,~20 hours,6999,Yes,Learnyst,https://academy.greenmentor.co/learn/GHG-Accounting-101,,Hashir Khan,,Live on Learnyst,,
Self-Paced,esg-readiness,ESG Readiness,ESG Strategy,Intermediate,"Build an ESG program from scratch: governance, materiality, KPIs, and the rollout plan that actually survives Q1.",Build a board-ready ESG strategy from scratch.,,30,6.5 hours,6999,Yes,Learnyst,https://academy.greenmentor.co/learn/ESG-Readiness,,Zubin Jacob,,Live on Learnyst,,
Self-Paced,esg-materiality,Materiality Assessment Mastery,ESG Strategy,Intermediate,"Learn to run a materiality assessment end to end: stakeholder engagement, issue prioritization, building a materiality matrix and double materiality. Leave able to identify what truly matters and turn it into strategy, risk and reporting.",How materiality fits within ESG framework,8,21,4 hours,5999,Yes,Learnyst,https://academy.greenmentor.co/learn/Materiality-Assessment,,Abhivyakti Vajpayi,,Live on Learnyst,,
Self-Paced,lca,Life Cycle Assessment Mastery,LCA methodology,Intermediate,"Learn to measure, analyze, and optimize the environmental impact of products, processes, and supply chains.","Mastery of LCA principles, methodology, and reporting",6,15,6 hours,5999,Yes,Learnyst,https://academy.greenmentor.co/learn/Life-Cycle-Assessment,,Vishal Pandhare,,Live on Learnyst,,
Self-Paced,cbam,CBAM Mastery Course,CBAM,Intermediate,"Master EU-CBAM compliance for aluminium and iron & steel: scope, embedded-emission calculation, reporting and verification. Leave able to prepare a defensible CBAM report and protect EU market access, with worked sector case studies.","What CBAM is, why it exists, and how it fits within carbon pricing and the prevention of carbon leakage",5,18,4.5 hours,10000,Yes,Learnyst,https://academy.greenmentor.co/learn/CBAM-Mastery,,Shubhi Goel,,Live on Learnyst,,
Self-Paced,circularity,Circularity Mastery Course,ESG,Intermediate,"Master the circular economy across nine modules: core models, circular design, materials, waste recovery, business models, policy and AI. Leave able to apply tools like LCA and MCI to real products and propose business and policy ideas.",Apply circular-economy models and frameworks to real products and systems,9,37,6.5 hours,6999,Yes,Learnyst,https://academy.greenmentor.co/learn/Circularity-Mastery-course,,Sumit Jugran,,Live on Learnyst,,
Live,live-lca-training,Live Training: Master Life Cycle Assessment (LCA),LCA,Advanced,"Live, instructor-led LCA: work a real product system through ISO 14040/14044 (goal & scope, inventory, impact assessment, interpretation) with direct feedback on your model.","Conduct a full life cycle assessment, ISO 14040/44 compliant.",10,43,4 days,20000,No,Learnyst,https://academy.greenmentor.co/learn/Live-Training---Master-Life-Cycle-Assessment-LCA-,,Vishal Pandhare,,Live on Learnyst,,
Live,esg-reporting-pro,Become an ESG Reporting Pro,ESG Reporting,Advanced,"A four-week intensive that takes you from data to a defensible ESG report: disclosure structure, the evidence trail, and the review cycle assurance partners expect.",File a GRI/BRSR report that survives external assurance.,4,8,4 days,35000,No,Learnyst,https://academy.greenmentor.co/learn/Become-an-ESG-Reporting-Pro,,"Karuna Kalra, Maitri Desai, Shriya Singh",,Live on Learnyst,,
Live,ghg-lead-verifier,Become a Certified GHG LEAD VERIFIER,ISO 14064,Advanced,"Become a job-ready carbon Lead Verifier in 5 days, certified by Bureau Veritas. Master ISO 14064 accounting and auditing, then India's CCTS compliance, with mock audits and exam prep. Verify carbon claims under global and Indian regimes.","ISO 14064 gives you the globally accepted methodology for quantifying and verifying greenhouse gas claims; the CCTS module grounds that methodology in the rules, formulas, and timelines of India's compliance market.",5,23,5 days,40000,No,Learnyst,https://academy.greenmentor.co/learn/Become-a-Certified-GHG-LEAD-VERIFIER,29th August 2026,,,Live on Learnyst,,
